codigo_inep;nome_curso;grau;turno;campus;area_conhecimento;area_conhecimento_vestibular;modalidade;unidade_responsavel;unidade_coordenacao
13401;CIÊNCIA DA COMPUTAÇÃO;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE INFORMÁTICA (CI);CI - COORDENAÇÃO DE CIÊNCIAS DA COMPUTAÇÃO (BACHARELADO)
98984;CIÊNCIA DA COMPUTAÇÃO;LICENCIATURA;Matutino e Vespertino;Litoral Norte (Mamanguape e Rio Tinto);Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE CIÊNCIAS DA COMPUTAÇÃO
1503759;CIÊNCIA DE DADOS E INTELIGÊNCIA ARTIFICIAL;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE INFORMÁTICA (CI);CI - COORDENAÇÃO DE MATEMÁTICA COMPUTACIONAL
1564470;CIÊNCIA DE DADOS PARA NEGÓCIOS;BACHARELADO;Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE ECONOMIA
13457;CIÊNCIAS AGRÁRIAS;LICENCIATURA;Matutino e Vespertino;Bananeiras;Ciências Agrárias;Área I - CIÊNCIAS AGRÁRIAS;Presencial;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA);CCHSA - COORDENAÇÃO DE CIÊNCIAS AGRÁRIAS
113701;CIÊNCIAS AGRÁRIAS -EAD;LICENCIATURA;Matutino e Vespertino;UFPB VIRTUAL;Ciências Agrárias;Área I - CIÊNCIAS AGRÁRIAS;A Distância;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA);CCHSA - COORDENAÇÃO DE CIÊNCIAS AGRÁRIAS
1127039;CIÊNCIAS ATUARIAIS;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENAÇÃO DE CIÊNCIAS ATUARIAIS
1127039;CIÊNCIAS ATUARIAIS;BACHARELADO;Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENAÇÃO DE CIÊNCIAS ATUARIAIS
13399;CIÊNCIAS BIOLÓGICAS;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Exatas e da Terra;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE CIÊNCIAS BIOLÓGICAS (LICENCIATURA)
13399;CIÊNCIAS BIOLÓGICAS;LICENCIATURA;Noturno;João Pessoa;Ciências Exatas e da Terra;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE CIÊNCIAS BIOLÓGICAS (LICENCIATURA)
313399;CIÊNCIAS BIOLÓGICAS;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Exatas e da Terra;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE CIÊNCIAS BIOLÓGICAS (BACHARELADO)
397767;CIÊNCIAS BIOLÓGICAS;BACHARELADO;Matutino e Vespertino;Areia;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS AGRÁRIAS (CCA);CCA - COORDENAÇÃO DE CIÊNCIAS BIOLÓGICAS
397767;CIÊNCIAS BIOLÓGICAS;LICENCIATURA CURTA;Matutino e Vespertino;Areia;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS AGRÁRIAS (CCA);CCA - COORDENAÇÃO DE CIÊNCIAS BIOLÓGICAS
97767;CIÊNCIAS BIOLÓGICAS;LICENCIATURA;Matutino e Vespertino;Areia;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS AGRÁRIAS (CCA);CCA - COORDENAÇÃO DE CIÊNCIAS BIOLÓGICAS
113699;CIÊNCIAS BIOLÓGICAS - EAD;LICENCIATURA;Matutino e Vespertino;UFPB VIRTUAL;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;A Distância;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE CIÊNCIAS BIOLÓGICAS (EAD)
13397;CIÊNCIAS CONTÁBEIS;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE CIÊNCIAS CONTÁBEIS
13397;CIÊNCIAS CONTÁBEIS;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE CIÊNCIAS CONTÁBEIS
98976;CIÊNCIAS CONTÁBEIS;BACHARELADO;Noturno;Litoral Norte (Mamanguape e Rio Tinto);Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE CIÊNCIAS CONTÁBEIS
1162838;CIÊNCIAS DAS RELIGIÕES;BACHARELADO;Noturno;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE CIÊNCIAS DAS RELIGIÕES
116826;CIÊNCIAS DAS RELIGIÕES;LICENCIATURA;Noturno;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE CIÊNCIAS DAS RELIGIÕES
116826;CIÊNCIAS DAS RELIGIÕES;LICENCIATURA;Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE CIÊNCIAS DAS RELIGIÕES
13394;CIÊNCIAS ECONÔMICAS;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE ECONOMIA
13394;CIÊNCIAS ECONÔMICAS;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE ECONOMIA
113705;CIÊNCIAS NATURAIS;LICENCIATURA;Matutino e Vespertino;UFPB VIRTUAL;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;A Distância;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO EM CIÊNCIAS NATURAIS (EAD)
